Generated by http://statistics.gov.scot,2017-01-07T10:08:31+00:00
http://statistics.gov.scot/data/employment,Employment
measure type,Count
Reference Period,2011-Q1
Gender,All
Measure (cell values): ,Count (People)

,,http://statistics.gov.scot/def/concept/age/16-and-over
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,16 And Over
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,2463800
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,117500
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,130900
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,50400
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,38700
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,251100
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,21600
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,63500
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,65700
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,52600
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,49400
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,45800
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,42000
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,72000
http://statistics.gov.scot/id/statistical-geography/S12000015,Fife,168500
http://statistics.gov.scot/id/statistical-geography/S12000046,Glasgow City,266600
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,113700
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,34900
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,39500
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,43800
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,10700
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,53400
http://statistics.gov.scot/id/statistical-geography/S12000044,North Lanarkshire,147400
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,10500
http://statistics.gov.scot/id/statistical-geography/S12000024,Perth and Kinross,71400
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,75800
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,52600
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,12200
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,46700
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,149300
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,42000
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,40600
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,83000
